date,brand_id,store_location,revenue
1/1/16,1,United States-CA,100
1/1/16,1,United States-TX,420
1/1/16,1,United States-NY,142
1/2/16,1,United States-CA,231
1/2/16,1,United States-TX,2342
1/2/16,1,United States-NY,232
1/3/16,1,United States-CA,100
1/3/16,1,United States-TX,420
1/3/16,1,United States-NY,3245
1/4/16,1,United States-CA,34
1/4/16,1,United States-TX,3
1/4/16,1,United States-NY,54
1/5/16,1,United States-CA,45
1/5/16,1,United States-TX,423
1/5/16,1,United States-NY,234
1/1/16,2,United States-CA,234
1/1/16,2,United States-TX,234
1/1/16,2,United States-NY,142
1/2/16,2,United States-CA,234
1/2/16,2,United States-TX,3423
1/2/16,2,United States-NY,2342
1/3/16,2,United States-CA,234234
1/6/16,3,United States-TX,3
1/3/16,2,United States-TX,3
1/3/16,2,United States-NY,234
1/4/16,2,United States-CA,2
1/4/16,2,United States-TX,2354
1/4/16,2,United States-NY,45235
1/5/16,2,United States-CA,23
1/5/16,2,United States-TX,4
1/5/16,2,United States-NY,124
